measure,location,sex,age,cause,metric,year,val,upper,lower
Prevalence,Bulgaria,Female,15-49 years,Opioid use disorders,Number,1998,2637.902565,3271.008485,2035.600777
Prevalence,Bulgaria,Male,50-69 years,Opioid use disorders,Number,1998,2001.884473,2562.673606,1539.299113
Prevalence,Bulgaria,Female,50-69 years,Opioid use disorders,Number,1998,838.5001762,1078.883188,644.3628165
Prevalence,Bulgaria,Male,70+ years,Opioid use disorders,Number,1998,396.9026729,520.1566932,295.2287453
Prevalence,Bulgaria,Female,70+ years,Opioid use disorders,Number,1998,399.5404862,530.1401536,299.0606094
Prevalence,Bulgaria,Male,5-14 years,Cocaine use disorders,Number,1998,0,0,0
Prevalence,Bulgaria,Female,5-14 years,Cocaine use disorders,Number,1998,0,0,0
Prevalence,Bulgaria,Male,15-49 years,Cocaine use disorders,Number,1998,3835.292322,4482.007442,3232.752763
Prevalence,Bulgaria,Female,15-49 years,Cocaine use disorders,Number,1998,1716.938074,2066.043712,1408.348104
Prevalence,Bulgaria,Male,50-69 years,Cocaine use disorders,Number,1998,709.8047979,815.097479,608.9672033
Prevalence,Bulgaria,Female,50-69 years,Cocaine use disorders,Number,1998,523.0088447,610.3982827,446.8405211
Prevalence,Bulgaria,Male,70+ years,Cocaine use disorders,Number,1998,169.6688122,197.1514827,144.5488194
Prevalence,Bulgaria,Female,70+ years,Cocaine use disorders,Number,1998,187.8554744,220.7693219,158.9049817
Prevalence,Bulgaria,Male,5-14 years,Amphetamine use disorders,Number,1998,21.88126901,35.3182186,11.98946534
Prevalence,Bulgaria,Female,5-14 years,Amphetamine use disorders,Number,1998,11.05336425,18.72881322,5.391273368
Prevalence,Bulgaria,Male,15-49 years,Amphetamine use disorders,Number,1998,4608.149632,6280.115269,3261.153275
Prevalence,Bulgaria,Female,15-49 years,Amphetamine use disorders,Number,1998,2484.288813,3448.348908,1744.991967
Prevalence,Bulgaria,Male,50-69 years,Amphetamine use disorders,Number,1998,194.3863807,285.1389315,130.9167247
Prevalence,Bulgaria,Female,50-69 years,Amphetamine use disorders,Number,1998,124.28892,185.1684609,80.6446522
Prevalence,Bulgaria,Male,70+ years,Amphetamine use disorders,Number,1998,34.09754967,48.7711456,21.58065177
Prevalence,Bulgaria,Female,70+ years,Amphetamine use disorders,Number,1998,34.30874891,50.73624417,21.08120999
Prevalence,Bulgaria,Male,5-14 years,Other drug use disorders,Number,1998,0.022726219,0.054008516,0.001155785
Prevalence,Bulgaria,Female,5-14 years,Other drug use disorders,Number,1998,0.022572528,0.051734128,0.001452017
Prevalence,Bulgaria,Male,15-49 years,Other drug use disorders,Number,1998,681.1370769,784.1716082,582.963824
Prevalence,Bulgaria,Female,15-49 years,Other drug use disorders,Number,1998,785.4488861,914.6162633,668.6699487
Prevalence,Bulgaria,Male,50-69 years,Other drug use disorders,Number,1998,154.1075761,194.6780252,122.5626925
Prevalence,Bulgaria,Female,50-69 years,Other drug use disorders,Number,1998,223.7723295,286.489664,176.0175488
Prevalence,Bulgaria,Male,70+ years,Other drug use disorders,Number,1998,3.426668872,4.092755861,2.847708343
Prevalence,Bulgaria,Female,70+ years,Other drug use disorders,Number,1998,6.154139721,7.444048517,5.013320609
Prevalence,Belarus,Male,5-14 years,Opioid use disorders,Number,1998,0,0,0
Prevalence,Belarus,Female,5-14 years,Opioid use disorders,Number,1998,0,0,0
Prevalence,Belarus,Male,15-49 years,Opioid use disorders,Number,1998,17353.03187,20069.82551,14662.16752
Prevalence,Belarus,Female,15-49 years,Opioid use disorders,Number,1998,6101.595185,7533.527268,4880.130408
Prevalence,Belarus,Male,50-69 years,Opioid use disorders,Number,1998,3228.199336,4059.810287,2590.073773
Prevalence,Belarus,Female,50-69 years,Opioid use disorders,Number,1998,1457.606488,1836.549278,1135.710461
Prevalence,Belarus,Male,70+ years,Opioid use disorders,Number,1998,490.9681061,634.2200856,379.4226526
Prevalence,Belarus,Female,70+ years,Opioid use disorders,Number,1998,761.6850902,961.4874776,595.9774391
Prevalence,Belarus,Male,5-14 years,Cocaine use disorders,Number,1998,0,0,0
Prevalence,Belarus,Female,5-14 years,Cocaine use disorders,Number,1998,0,0,0
Prevalence,Belarus,Male,15-49 years,Cocaine use disorders,Number,1998,5491.550293,6429.027181,4692.544549
Prevalence,Belarus,Female,15-49 years,Cocaine use disorders,Number,1998,829.6019468,1011.079211,683.2272264
Prevalence,Belarus,Male,50-69 years,Cocaine use disorders,Number,1998,681.8100264,777.7241957,594.7703474
Prevalence,Belarus,Female,50-69 years,Cocaine use disorders,Number,1998,229.2594247,277.3242995,184.9140529
Prevalence,Belarus,Male,70+ years,Cocaine use disorders,Number,1998,103.4779505,119.2433698,87.66209226
Prevalence,Belarus,Female,70+ years,Cocaine use disorders,Number,1998,79.52251948,99.09810375,63.51522129
Prevalence,Belarus,Male,5-14 years,Amphetamine use disorders,Number,1998,36.05349711,59.34440233,18.54739641
Prevalence,Belarus,Female,5-14 years,Amphetamine use disorders,Number,1998,18.76964739,32.63904498,8.622063664
Prevalence,Belarus,Male,15-49 years,Amphetamine use disorders,Number,1998,7840.782914,10484.04153,5727.07135
Prevalence,Belarus,Female,15-49 years,Amphetamine use disorders,Number,1998,3974.247838,5458.161556,2832.630127
Prevalence,Belarus,Male,50-69 years,Amphetamine use disorders,Number,1998,323.0783881,447.2803516,226.576953
Prevalence,Belarus,Female,50-69 years,Amphetamine use disorders,Number,1998,185.3508184,272.1464108,126.3858205
Prevalence,Belarus,Male,70+ years,Amphetamine use disorders,Number,1998,37.55718118,50.73567106,25.86565476
Prevalence,Belarus,Female,70+ years,Amphetamine use disorders,Number,1998,47.75440862,67.64496195,31.25578811
Prevalence,Estonia,Male,5-14 years,Other drug use disorders,Number,1998,0.005664156,0.012531199,0.000709508
Prevalence,Estonia,Female,5-14 years,Other drug use disorders,Number,1998,0.005026029,0.011931769,0.000588874
Prevalence,Estonia,Male,15-49 years,Other drug use disorders,Number,1998,240.6380294,268.26774,212.5756922
Prevalence,Estonia,Female,15-49 years,Other drug use disorders,Number,1998,179.2609601,204.9464989,154.52971
Prevalence,Estonia,Male,50-69 years,Other drug use disorders,Number,1998,28.50936908,34.87670567,23.19768029
Prevalence,Estonia,Female,50-69 years,Other drug use disorders,Number,1998,45.41551448,56.66105511,36.34057205
Prevalence,Estonia,Male,70+ years,Other drug use disorders,Number,1998,0.51077654,0.613590906,0.41702674
Prevalence,Estonia,Female,70+ years,Other drug use disorders,Number,1998,1.444674878,1.720507793,1.190888642
Prevalence,Austria,Male,5-14 years,Opioid use disorders,Number,2001,0,0,0
Prevalence,Austria,Female,5-14 years,Opioid use disorders,Number,2001,0,0,0
Prevalence,Austria,Male,15-49 years,Opioid use disorders,Number,2001,14489.06024,15472.46281,13624.5293
Prevalence,Austria,Female,15-49 years,Opioid use disorders,Number,2001,5094.666197,5579.327744,4631.896049
Prevalence,Austria,Male,50-69 years,Opioid use disorders,Number,2001,2494.012852,2720.93509,2264.736466
Prevalence,Austria,Female,50-69 years,Opioid use disorders,Number,2001,920.2336338,1043.929428,802.775989
Prevalence,Austria,Male,70+ years,Opioid use disorders,Number,2001,575.2902021,711.8658947,457.4482385
Prevalence,Austria,Female,70+ years,Opioid use disorders,Number,2001,406.3918756,516.7688296,310.3220629
Prevalence,Austria,Male,5-14 years,Cocaine use disorders,Number,2001,0,0,0
Prevalence,Austria,Female,5-14 years,Cocaine use disorders,Number,2001,0,0,0
Prevalence,Austria,Male,15-49 years,Cocaine use disorders,Number,2001,4638.711627,5371.920682,4007.675767
Prevalence,Austria,Female,15-49 years,Cocaine use disorders,Number,2001,1354.809664,1618.540903,1131.60167
Prevalence,Austria,Male,50-69 years,Cocaine use disorders,Number,2001,826.40232,950.6467217,712.4792108
Prevalence,Austria,Female,50-69 years,Cocaine use disorders,Number,2001,285.1333426,336.4620084,238.3349525
Prevalence,Austria,Male,70+ years,Cocaine use disorders,Number,2001,208.0521575,241.9744517,177.160641
Prevalence,Austria,Female,70+ years,Cocaine use disorders,Number,2001,157.004822,187.1195486,129.6270989
Prevalence,Austria,Male,5-14 years,Amphetamine use disorders,Number,2001,25.12936941,35.93821752,15.82003103
Prevalence,Austria,Female,5-14 years,Amphetamine use disorders,Number,2001,15.51769052,25.29678731,8.751161304
Prevalence,Austria,Male,15-49 years,Amphetamine use disorders,Number,2001,3660.025846,4680.429307,2756.740723
Prevalence,Austria,Female,15-49 years,Amphetamine use disorders,Number,2001,2196.350927,2905.941189,1617.491738
Prevalence,Andorra,Male,5-14 years,Opioid use disorders,Number,1998,0,0,0
Prevalence,Andorra,Female,5-14 years,Opioid use disorders,Number,1998,0,0,0
Prevalence,Andorra,Male,15-49 years,Opioid use disorders,Number,1998,119.2035928,137.4403297,101.4012294
Prevalence,Andorra,Female,15-49 years,Opioid use disorders,Number,1998,38.07815198,47.91601733,29.66411237
Prevalence,Andorra,Male,50-69 years,Opioid use disorders,Number,1998,15.20404537,18.89535936,12.00991262
Prevalence,Andorra,Female,50-69 years,Opioid use disorders,Number,1998,4.911550407,6.38135304,3.756826986
Prevalence,Andorra,Male,70+ years,Opioid use disorders,Number,1998,3.508153727,4.39852795,2.721678208
Prevalence,Andorra,Female,70+ years,Opioid use disorders,Number,1998,1.530880649,1.987214286,1.16564222
Prevalence,Andorra,Male,5-14 years,Cocaine use disorders,Number,1998,0,0,0
Prevalence,Andorra,Female,5-14 years,Cocaine use disorders,Number,1998,0,0,0
Prevalence,Andorra,Male,15-49 years,Cocaine use disorders,Number,1998,41.50174747,48.61303276,35.52383861
Prevalence,Andorra,Female,15-49 years,Cocaine use disorders,Number,1998,10.66426924,12.87899523,8.754279772
Prevalence,Andorra,Male,50-69 years,Cocaine use disorders,Number,1998,5.779279085,6.648663921,5.04023123
Prevalence,Andorra,Female,50-69 years,Cocaine use disorders,Number,1998,1.526919421,1.803202755,1.267332029
Prevalence,Andorra,Male,70+ years,Cocaine use disorders,Number,1998,1.476506552,1.708468306,1.270857815
Prevalence,Andorra,Female,70+ years,Cocaine use disorders,Number,1998,0.621301618,0.754737277,0.512778656
Prevalence,Andorra,Male,5-14 years,Amphetamine use disorders,Number,1998,0.139927136,0.229603576,0.076114922
Prevalence,Andorra,Female,5-14 years,Amphetamine use disorders,Number,1998,0.071520834,0.124630763,0.034608627
Prevalence,Andorra,Male,15-49 years,Amphetamine use disorders,Number,1998,34.975083,47.52051923,24.80463339
Prevalence,Andorra,Female,15-49 years,Amphetamine use disorders,Number,1998,18.02596944,24.55060645,12.9466113
Prevalence,Andorra,Male,50-69 years,Amphetamine use disorders,Number,1998,1.236908802,1.830911211,0.844029186
Prevalence,Andorra,Female,50-69 years,Amphetamine use disorders,Number,1998,0.59137055,0.87237454,0.384195761
Prevalence,Andorra,Male,70+ years,Amphetamine use disorders,Number,1998,0.282331657,0.400825278,0.187928024
Prevalence,Andorra,Female,70+ years,Amphetamine use disorders,Number,1998,0.229684928,0.327330887,0.157169004
Prevalence,Andorra,Male,5-14 years,Other drug use disorders,Number,1998,0.000188488,0.000443939,3.02E-05
Prevalence,Andorra,Female,5-14 years,Other drug use disorders,Number,1998,0.000147088,0.000341039,1.36E-05
Prevalence,Andorra,Male,15-49 years,Other drug use disorders,Number,1998,23.95789776,26.81946466,21.15551034
Prevalence,Andorra,Female,15-49 years,Other drug use disorders,Number,1998,15.01513639,17.23320662,12.84292388
Prevalence,Andorra,Male,50-69 years,Other drug use disorders,Number,1998,2.835364746,3.489095805,2.306340052
Prevalence,Andorra,Female,50-69 years,Other drug use disorders,Number,1998,2.888136939,3.62587505,2.287349989
Prevalence,Andorra,Male,70+ years,Other drug use disorders,Number,1998,0.038174618,0.046212002,0.03143499
Prevalence,Andorra,Female,70+ years,Other drug use disorders,Number,1998,0.05679124,0.067922393,0.046521067
Prevalence,Sweden,Male,5-14 years,Amphetamine use disorders,Number,1998,27.89647983,44.8513575,15.15357364
Prevalence,Sweden,Female,5-14 years,Amphetamine use disorders,Number,1998,12.87223043,21.62569977,5.598067658
Prevalence,Sweden,Male,15-49 years,Amphetamine use disorders,Number,1998,6844.788378,8936.237973,5111.618088
Prevalence,Sweden,Female,15-49 years,Amphetamine use disorders,Number,1998,3361.902719,4414.071721,2477.699903
Prevalence,Sweden,Male,50-69 years,Amphetamine use disorders,Number,1998,371.0166691,537.0396208,255.4336163
Prevalence,Sweden,Female,50-69 years,Amphetamine use disorders,Number,1998,189.7640423,277.1396256,128.8778951
Prevalence,Sweden,Male,70+ years,Amphetamine use disorders,Number,1998,77.21549877,108.7882383,52.84049375
Prevalence,Sweden,Female,70+ years,Amphetamine use disorders,Number,1998,102.6312569,143.4334854,74.16128814
Prevalence,Sweden,Male,5-14 years,Other drug use disorders,Number,1998,0.028265497,0.063060642,0.003449694
Prevalence,Sweden,Female,5-14 years,Other drug use disorders,Number,1998,0.023814202,0.056578833,0.002108191
Prevalence,Sweden,Male,15-49 years,Other drug use disorders,Number,1998,2496.482705,2791.421694,2206.487327
Prevalence,Sweden,Female,15-49 years,Other drug use disorders,Number,1998,1459.690009,1672.688869,1252.367091
Prevalence,Sweden,Male,50-69 years,Other drug use disorders,Number,1998,600.5294976,713.9204746,498.2869941
Prevalence,Sweden,Female,50-69 years,Other drug use disorders,Number,1998,512.6406954,630.6949381,415.2777738
Prevalence,Sweden,Male,70+ years,Other drug use disorders,Number,1998,6.63747303,7.907920908,5.590475422
Prevalence,Sweden,Female,70+ years,Other drug use disorders,Number,1998,13.17272295,15.298648,11.23873922
Prevalence,Estonia,Male,5-14 years,Opioid use disorders,Number,1998,0,0,0
Prevalence,Estonia,Female,5-14 years,Opioid use disorders,Number,1998,0,0,0
Prevalence,Estonia,Male,15-49 years,Opioid use disorders,Number,1998,2601.221053,3043.461483,2244.145116
Prevalence,Estonia,Female,15-49 years,Opioid use disorders,Number,1998,888.950647,1088.217531,724.5442452
Prevalence,Estonia,Male,50-69 years,Opioid use disorders,Number,1998,423.0473017,526.0864272,334.9523147
Prevalence,Estonia,Female,50-69 years,Opioid use disorders,Number,1998,223.3770538,285.9481157,173.6676094
Prevalence,Estonia,Male,70+ years,Opioid use disorders,Number,1998,64.505271,83.11523774,50.11977852
Prevalence,Estonia,Female,70+ years,Opioid use disorders,Number,1998,118.8444289,153.5358522,90.31895724
Prevalence,Estonia,Male,5-14 years,Cocaine use disorders,Number,1998,0,0,0
Prevalence,Estonia,Female,5-14 years,Cocaine use disorders,Number,1998,0,0,0
Prevalence,Estonia,Male,15-49 years,Cocaine use disorders,Number,1998,1277.127766,1546.26248,1060.980048
Prevalence,Estonia,Female,15-49 years,Cocaine use disorders,Number,1998,189.5180233,233.1430709,151.3059325
Prevalence,Estonia,Male,50-69 years,Cocaine use disorders,Number,1998,184.9497432,218.9599063,154.6118852
Prevalence,Estonia,Female,50-69 years,Cocaine use disorders,Number,1998,60.17070027,71.09376038,50.17500737
Prevalence,Estonia,Male,70+ years,Cocaine use disorders,Number,1998,28.24827334,34.11536284,23.27627816
Prevalence,Estonia,Female,70+ years,Cocaine use disorders,Number,1998,21.71753016,26.07788173,17.79379665
Prevalence,Estonia,Male,5-14 years,Amphetamine use disorders,Number,1998,4.655390436,7.368700594,2.588581978
Prevalence,Estonia,Female,5-14 years,Amphetamine use disorders,Number,1998,2.625915927,4.283535199,1.43730232
Prevalence,Estonia,Male,15-49 years,Amphetamine use disorders,Number,1998,1009.507649,1322.446584,747.9853076
Prevalence,Estonia,Female,15-49 years,Amphetamine use disorders,Number,1998,549.1663391,743.6097459,395.3267726
Prevalence,Estonia,Male,50-69 years,Amphetamine use disorders,Number,1998,44.57386884,63.46186287,30.42839582
Prevalence,Estonia,Female,50-69 years,Amphetamine use disorders,Number,1998,30.07810938,44.47313676,19.97480875
Prevalence,Estonia,Male,70+ years,Amphetamine use disorders,Number,1998,5.080017844,7.128681262,3.390750451
Prevalence,Estonia,Female,70+ years,Amphetamine use disorders,Number,1998,7.438817456,10.69331018,4.883886947
Prevalence,Croatia,Male,50-69 years,Cocaine use disorders,Number,1998,241.5094875,277.1745302,208.5466105
Prevalence,Croatia,Female,50-69 years,Cocaine use disorders,Number,1998,173.5629956,204.7418569,145.9282076
Prevalence,Croatia,Male,70+ years,Cocaine use disorders,Number,1998,44.81216724,52.76080388,38.07458282
Prevalence,Croatia,Female,70+ years,Cocaine use disorders,Number,1998,62.66671745,74.76899145,51.33373211
Prevalence,Croatia,Male,5-14 years,Amphetamine use disorders,Number,1998,5.802771533,10.2560009,2.369370814
Prevalence,Croatia,Female,5-14 years,Amphetamine use disorders,Number,1998,1.591577806,3.25611946,0.266222357
Prevalence,Croatia,Male,15-49 years,Amphetamine use disorders,Number,1998,1464.70903,2004.679066,1036.206313
Prevalence,Croatia,Female,15-49 years,Amphetamine use disorders,Number,1998,574.8961941,775.3905993,414.090208
Prevalence,Croatia,Male,50-69 years,Amphetamine use disorders,Number,1998,59.06330417,85.53007729,38.82094339
Prevalence,Croatia,Female,50-69 years,Amphetamine use disorders,Number,1998,30.40146552,46.47240588,18.15256811
Prevalence,Croatia,Male,70+ years,Amphetamine use disorders,Number,1998,8.131258111,11.78899312,5.107139118
Prevalence,Croatia,Female,70+ years,Amphetamine use disorders,Number,1998,9.268129348,14.47025931,5.153322013
Prevalence,Croatia,Male,5-14 years,Other drug use disorders,Number,1998,0.012755595,0.029726216,0.001124155
Prevalence,Croatia,Female,5-14 years,Other drug use disorders,Number,1998,0.013100081,0.031191746,0.001433858
Prevalence,Croatia,Male,15-49 years,Other drug use disorders,Number,1998,521.2473716,593.7511436,453.5072395
Prevalence,Croatia,Female,15-49 years,Other drug use disorders,Number,1998,475.317071,551.7765061,405.3255338
Prevalence,Croatia,Male,50-69 years,Other drug use disorders,Number,1998,79.66567553,99.98588012,63.47621372
Prevalence,Croatia,Female,50-69 years,Other drug use disorders,Number,1998,113.725681,142.8888528,89.63558428
Prevalence,Croatia,Male,70+ years,Other drug use disorders,Number,1998,1.762595945,2.059979321,1.492241777
Prevalence,Croatia,Female,70+ years,Other drug use disorders,Number,1998,5.237944621,6.163902232,4.44397166
Prevalence,Croatia,Male,5-14 years,Opioid use disorders,Number,2001,0,0,0
Prevalence,Croatia,Female,5-14 years,Opioid use disorders,Number,2001,0,0,0
Prevalence,Croatia,Male,15-49 years,Opioid use disorders,Number,2001,8548.305584,9929.76128,7380.061016
Prevalence,Croatia,Female,15-49 years,Opioid use disorders,Number,2001,1862.288681,2326.361933,1477.086692
Prevalence,Croatia,Male,50-69 years,Opioid use disorders,Number,2001,1430.376619,1791.488816,1140.107504
Prevalence,Croatia,Female,50-69 years,Opioid use disorders,Number,2001,543.2955774,697.8750716,419.9313468
Prevalence,Croatia,Male,70+ years,Opioid use disorders,Number,2001,232.9747274,300.293413,174.9124142
Prevalence,Croatia,Female,70+ years,Opioid use disorders,Number,2001,283.2003311,367.6010565,213.794563
Prevalence,Croatia,Male,5-14 years,Cocaine use disorders,Number,2001,0,0,0
Prevalence,Croatia,Female,5-14 years,Cocaine use disorders,Number,2001,0,0,0
Prevalence,Croatia,Male,15-49 years,Cocaine use disorders,Number,2001,1218.60125,1434.376175,1015.047167
